units,date,heartRateData
bpm,2021-12-03 10:27:21 +0000,71
bpm,2021-12-03 10:29:24 +0000,65
bpm,2021-12-03 10:29:29 +0000,63
bpm,2021-12-03 10:29:34 +0000,58
bpm,2021-12-03 10:29:39 +0000,55
bpm,2021-12-03 10:29:44 +0000,54
bpm,2021-12-03 10:29:49 +0000,53
bpm,2021-12-03 10:29:50 +0000,53
bpm,2021-12-03 10:29:55 +0000,54
bpm,2021-12-03 10:30:00 +0000,56
bpm,2021-12-03 10:30:24 +0000,73
bpm,2021-12-03 10:30:29 +0000,65
bpm,2021-12-03 10:30:34 +0000,62
bpm,2021-12-03 10:30:39 +0000,60
bpm,2021-12-03 10:30:44 +0000,59
bpm,2021-12-03 10:30:47 +0000,59
bpm,2021-12-03 10:30:54 +0000,61
bpm,2021-12-03 10:30:59 +0000,58
bpm,2021-12-03 10:31:00 +0000,58
bpm,2021-12-03 10:31:05 +0000,60
bpm,2021-12-03 10:31:14 +0000,60
bpm,2021-12-03 10:31:19 +0000,61
bpm,2021-12-03 10:31:24 +0000,61
bpm,2021-12-03 10:31:29 +0000,62
bpm,2021-12-03 10:31:30 +0000,62
bpm,2021-12-03 10:31:35 +0000,61
bpm,2021-12-03 10:31:44 +0000,58
bpm,2021-12-03 10:31:47 +0000,57
bpm,2021-12-03 10:31:53 +0000,57
bpm,2021-12-03 10:31:55 +0000,57
bpm,2021-12-03 10:32:00 +0000,56
bpm,2021-12-03 10:32:08 +0000,54
bpm,2021-12-03 10:32:13 +0000,53
bpm,2021-12-03 10:32:15 +0000,54
bpm,2021-12-03 10:32:24 +0000,56
bpm,2021-12-03 10:32:29 +0000,57
bpm,2021-12-03 10:32:31 +0000,57
bpm,2021-12-03 10:32:35 +0000,59
bpm,2021-12-03 10:32:40 +0000,60
bpm,2021-12-03 10:32:48 +0000,62
bpm,2021-12-03 10:32:54 +0000,67
bpm,2021-12-03 10:32:57 +0000,66
bpm,2021-12-03 10:33:02 +0000,63
bpm,2021-12-03 10:33:09 +0000,59
bpm,2021-12-03 10:33:14 +0000,59
bpm,2021-12-03 10:33:15 +0000,58
bpm,2021-12-03 10:33:24 +0000,56
bpm,2021-12-03 10:33:27 +0000,56
bpm,2021-12-03 10:33:30 +0000,57
bpm,2021-12-03 10:33:36 +0000,57
bpm,2021-12-03 10:33:44 +0000,53
bpm,2021-12-03 10:33:49 +0000,53
bpm,2021-12-03 10:33:50 +0000,54
bpm,2021-12-03 10:33:58 +0000,57
bpm,2021-12-03 10:34:00 +0000,56
bpm,2021-12-03 10:34:06 +0000,54
bpm,2021-12-03 10:34:10 +0000,55
bpm,2021-12-03 10:34:18 +0000,54
bpm,2021-12-03 10:34:24 +0000,52
bpm,2021-12-03 10:34:25 +0000,52
bpm,2021-12-03 10:34:34 +0000,54
bpm,2021-12-03 10:34:35 +0000,54
bpm,2021-12-03 10:34:40 +0000,54
bpm,2021-12-03 10:34:49 +0000,57
bpm,2021-12-03 10:34:54 +0000,58
bpm,2021-12-03 10:34:55 +0000,58
bpm,2021-12-03 10:35:00 +0000,58
bpm,2021-12-03 10:35:09 +0000,59
bpm,2021-12-03 10:35:11 +0000,59
bpm,2021-12-03 10:35:18 +0000,61
bpm,2021-12-03 10:35:21 +0000,60
bpm,2021-12-03 10:35:25 +0000,61
bpm,2021-12-03 10:35:34 +0000,58
bpm,2021-12-03 10:35:38 +0000,60
bpm,2021-12-03 10:35:40 +0000,58
bpm,2021-12-03 10:35:49 +0000,57
bpm,2021-12-03 10:35:50 +0000,57
bpm,2021-12-03 10:35:59 +0000,57
bpm,2021-12-03 10:36:02 +0000,57
bpm,2021-12-03 10:36:09 +0000,53
bpm,2021-12-03 10:36:13 +0000,54
bpm,2021-12-03 10:36:15 +0000,54
bpm,2021-12-03 10:36:23 +0000,57
bpm,2021-12-03 10:36:26 +0000,61
bpm,2021-12-03 10:36:35 +0000,77
bpm,2021-12-03 10:36:39 +0000,74
bpm,2021-12-03 10:36:42 +0000,70
bpm,2021-12-03 10:36:48 +0000,70
bpm,2021-12-03 10:36:55 +0000,67
bpm,2021-12-03 10:36:58 +0000,67
bpm,2021-12-03 10:37:04 +0000,63
bpm,2021-12-03 10:37:08 +0000,63
bpm,2021-12-03 10:37:12 +0000,66
bpm,2021-12-03 10:37:20 +0000,61
bpm,2021-12-03 10:37:25 +0000,59
bpm,2021-12-03 10:37:27 +0000,60
bpm,2021-12-03 10:37:35 +0000,63
bpm,2021-12-03 10:37:37 +0000,60
bpm,2021-12-03 10:37:45 +0000,58
bpm,2021-12-03 10:37:46 +0000,59
bpm,2021-12-03 10:37:55 +0000,73
bpm,2021-12-03 10:37:59 +0000,72
bpm,2021-12-03 10:38:01 +0000,70
bpm,2021-12-03 10:38:06 +0000,64
bpm,2021-12-03 10:38:15 +0000,63
bpm,2021-12-03 10:38:16 +0000,63
bpm,2021-12-03 10:38:21 +0000,64
bpm,2021-12-03 10:38:30 +0000,59
bpm,2021-12-03 10:38:31 +0000,59
bpm,2021-12-03 10:38:39 +0000,55
bpm,2021-12-03 10:38:41 +0000,52
bpm,2021-12-03 10:38:47 +0000,52
bpm,2021-12-03 10:38:55 +0000,55
bpm,2021-12-03 10:39:00 +0000,54
bpm,2021-12-03 10:39:03 +0000,54
bpm,2021-12-03 10:39:10 +0000,57
bpm,2021-12-03 10:39:15 +0000,56
bpm,2021-12-03 10:39:17 +0000,57
bpm,2021-12-03 10:39:25 +0000,52
bpm,2021-12-03 10:39:28 +0000,52
bpm,2021-12-03 10:39:34 +0000,57
bpm,2021-12-03 10:39:39 +0000,56
bpm,2021-12-03 10:39:41 +0000,56
bpm,2021-12-03 10:39:48 +0000,54
bpm,2021-12-03 10:39:55 +0000,55
bpm,2021-12-03 10:39:56 +0000,55
bpm,2021-12-03 10:40:04 +0000,59
bpm,2021-12-03 10:40:10 +0000,58
bpm,2021-12-03 10:40:13 +0000,57
bpm,2021-12-03 10:40:20 +0000,55
bpm,2021-12-03 10:40:25 +0000,56
bpm,2021-12-03 10:40:26 +0000,56
bpm,2021-12-03 10:40:33 +0000,56
bpm,2021-12-03 10:40:37 +0000,59
bpm,2021-12-03 10:40:43 +0000,58
bpm,2021-12-03 10:40:50 +0000,53
bpm,2021-12-03 10:40:55 +0000,52
bpm,2021-12-03 10:41:00 +0000,51
bpm,2021-12-03 10:41:05 +0000,49
bpm,2021-12-03 10:41:09 +0000,51
bpm,2021-12-03 10:41:15 +0000,52
bpm,2021-12-03 10:41:16 +0000,52
bpm,2021-12-03 10:41:24 +0000,54
bpm,2021-12-03 10:41:26 +0000,55
bpm,2021-12-03 10:41:33 +0000,60
bpm,2021-12-03 10:41:40 +0000,61
bpm,2021-12-03 10:41:41 +0000,61
bpm,2021-12-03 10:41:49 +0000,57
bpm,2021-12-03 10:41:55 +0000,54
bpm,2021-12-03 10:42:00 +0000,55
bpm,2021-12-03 10:42:01 +0000,54
bpm,2021-12-03 10:42:09 +0000,53
bpm,2021-12-03 10:42:13 +0000,56
bpm,2021-12-03 10:42:19 +0000,61
bpm,2021-12-03 10:42:25 +0000,59
bpm,2021-12-03 10:42:27 +0000,60
bpm,2021-12-03 10:42:35 +0000,55
bpm,2021-12-03 10:42:37 +0000,55
bpm,2021-12-03 10:42:44 +0000,51
bpm,2021-12-03 10:42:50 +0000,50
bpm,2021-12-03 10:42:55 +0000,50
bpm,2021-12-03 10:42:56 +0000,50
bpm,2021-12-03 10:43:03 +0000,51
bpm,2021-12-03 10:43:09 +0000,53
bpm,2021-12-03 10:43:14 +0000,54
bpm,2021-12-03 10:43:20 +0000,53
bpm,2021-12-03 10:43:22 +0000,52
bpm,2021-12-03 10:43:27 +0000,53
bpm,2021-12-03 10:43:35 +0000,53
bpm,2021-12-03 10:43:39 +0000,52
bpm,2021-12-03 10:43:42 +0000,52
bpm,2021-12-03 10:43:46 +0000,53
bpm,2021-12-03 10:43:51 +0000,54
bpm,2021-12-03 10:44:00 +0000,55
bpm,2021-12-03 10:44:05 +0000,54
bpm,2021-12-03 10:44:09 +0000,55
bpm,2021-12-03 10:44:15 +0000,54
bpm,2021-12-03 10:44:16 +0000,54
bpm,2021-12-03 10:44:22 +0000,54
bpm,2021-12-03 10:44:30 +0000,54
bpm,2021-12-03 10:44:32 +0000,55
bpm,2021-12-03 10:44:36 +0000,54
bpm,2021-12-03 10:44:42 +0000,57
bpm,2021-12-03 10:44:50 +0000,58
bpm,2021-12-03 10:44:54 +0000,58
bpm,2021-12-03 10:44:58 +0000,58
bpm,2021-12-03 10:45:02 +0000,57
bpm,2021-12-03 10:45:09 +0000,57
bpm,2021-12-03 10:45:15 +0000,59
bpm,2021-12-03 10:45:16 +0000,59
bpm,2021-12-03 10:45:25 +0000,61
bpm,2021-12-03 10:45:30 +0000,59
bpm,2021-12-03 10:45:31 +0000,59
bpm,2021-12-03 10:45:36 +0000,60
bpm,2021-12-03 10:45:45 +0000,66
bpm,2021-12-03 10:45:46 +0000,66
bpm,2021-12-03 10:45:55 +0000,54
bpm,2021-12-03 10:46:00 +0000,54
bpm,2021-12-03 10:46:04 +0000,56
bpm,2021-12-03 10:46:06 +0000,56
bpm,2021-12-03 10:46:11 +0000,58
bpm,2021-12-03 10:46:20 +0000,74
bpm,2021-12-03 10:46:25 +0000,74
bpm,2021-12-03 10:46:26 +0000,72
bpm,2021-12-03 10:46:34 +0000,69
bpm,2021-12-03 10:46:36 +0000,69
bpm,2021-12-03 10:46:41 +0000,66
bpm,2021-12-03 10:46:46 +0000,62
bpm,2021-12-03 10:46:55 +0000,55
bpm,2021-12-03 10:47:00 +0000,51
bpm,2021-12-03 10:47:05 +0000,51
bpm,2021-12-03 10:47:08 +0000,51
bpm,2021-12-03 10:47:11 +0000,50
bpm,2021-12-03 10:47:20 +0000,50
bpm,2021-12-03 10:47:25 +0000,50
bpm,2021-12-03 10:47:28 +0000,49
bpm,2021-12-03 10:47:34 +0000,50
bpm,2021-12-03 10:47:37 +0000,50
bpm,2021-12-03 10:47:45 +0000,50
bpm,2021-12-03 10:47:48 +0000,50
bpm,2021-12-03 10:47:51 +0000,49
bpm,2021-12-03 10:47:58 +0000,50
bpm,2021-12-03 10:48:04 +0000,50
bpm,2021-12-03 10:48:10 +0000,50
bpm,2021-12-03 10:48:13 +0000,51
bpm,2021-12-03 10:48:21 +0000,52
bpm,2021-12-03 10:48:22 +0000,52
bpm,2021-12-03 10:48:29 +0000,52
bpm,2021-12-03 10:48:37 +0000,51
bpm,2021-12-03 10:48:42 +0000,51
bpm,2021-12-03 10:48:47 +0000,51
bpm,2021-12-03 10:48:52 +0000,52
bpm,2021-12-03 10:48:55 +0000,51
bpm,2021-12-03 10:49:02 +0000,51
bpm,2021-12-03 10:49:03 +0000,51
bpm,2021-12-03 10:49:10 +0000,51
bpm,2021-12-03 10:49:15 +0000,52
bpm,2021-12-03 10:49:20 +0000,53
bpm,2021-12-03 10:49:26 +0000,52
bpm,2021-12-03 10:49:32 +0000,52
bpm,2021-12-03 10:49:36 +0000,52
bpm,2021-12-03 10:49:39 +0000,53
bpm,2021-12-03 10:49:47 +0000,53
bpm,2021-12-03 10:49:50 +0000,53
bpm,2021-12-03 10:49:57 +0000,55
bpm,2021-12-03 10:50:02 +0000,55
bpm,2021-12-03 10:50:05 +0000,53
bpm,2021-12-03 10:50:12 +0000,51
bpm,2021-12-03 10:50:16 +0000,51
bpm,2021-12-03 10:50:22 +0000,51
bpm,2021-12-03 10:50:24 +0000,50
bpm,2021-12-03 10:50:28 +0000,51
bpm,2021-12-03 10:50:36 +0000,50
bpm,2021-12-03 10:50:40 +0000,50
bpm,2021-12-03 10:50:44 +0000,51
bpm,2021-12-03 10:50:52 +0000,50
bpm,2021-12-03 10:50:54 +0000,50
bpm,2021-12-03 10:50:59 +0000,50
bpm,2021-12-03 10:51:03 +0000,51
bpm,2021-12-03 10:51:08 +0000,52
bpm,2021-12-03 10:51:15 +0000,55
bpm,2021-12-03 10:51:22 +0000,57
bpm,2021-12-03 10:51:27 +0000,57
bpm,2021-12-03 10:51:28 +0000,56
bpm,2021-12-03 10:51:33 +0000,57
bpm,2021-12-03 10:51:40 +0000,58
bpm,2021-12-03 10:51:47 +0000,56
bpm,2021-12-03 10:51:50 +0000,56
