,value__bpm,value__confidence,year,month,day,hour,minute,second,dateTime
1,72.14879608154297,2.9722063541412354,2021,11,19,0,0,5,2021-11-19 00:00:05
5,70.42176055908203,3.2052104473114014,2021,11,19,0,0,25,2021-11-19 00:00:25
6,70.13523864746094,2.9594881534576416,2021,11,19,0,0,30,2021-11-19 00:00:30
8,69.57453918457031,2.922468900680542,2021,11,19,0,0,40,2021-11-19 00:00:40
9,69.33059692382812,2.9961037635803223,2021,11,19,0,0,45,2021-11-19 00:00:45
16,70.50984191894531,3.000011444091797,2021,11,19,0,1,20,2021-11-19 00:01:20
17,70.13861083984375,3.1276795864105225,2021,11,19,0,1,25,2021-11-19 00:01:25
19,69.61915588378906,3.039137125015259,2021,11,19,0,1,35,2021-11-19 00:01:35
21,69.21185302734375,2.8826889991760254,2021,11,19,0,1,45,2021-11-19 00:01:45
22,69.85116577148438,2.8638885021209717,2021,11,19,0,1,50,2021-11-19 00:01:50
24,69.24979400634766,2.887744903564453,2021,11,19,0,2,0,2021-11-19 00:02:00
25,70.06005096435547,3.0443923473358154,2021,11,19,0,2,5,2021-11-19 00:02:05
29,70.32506561279297,3.1119678020477295,2021,11,19,0,2,25,2021-11-19 00:02:25
38,70.35476684570312,2.9601340293884277,2021,11,19,0,3,10,2021-11-19 00:03:10
39,71.12660217285156,3.013165235519409,2021,11,19,0,3,15,2021-11-19 00:03:15
41,71.11107635498047,3.0052952766418457,2021,11,19,0,3,25,2021-11-19 00:03:25
42,70.81019592285156,2.9134867191314697,2021,11,19,0,3,30,2021-11-19 00:03:30
45,70.317138671875,2.957286834716797,2021,11,19,0,3,45,2021-11-19 00:03:45
46,70.36065673828125,2.9619863033294678,2021,11,19,0,3,50,2021-11-19 00:03:50
50,69.771240234375,2.799022912979126,2021,11,19,0,4,10,2021-11-19 00:04:10
52,70.71998596191406,2.932793140411377,2021,11,19,0,4,20,2021-11-19 00:04:20
55,70.1066665649414,2.7604591846466064,2021,11,19,0,4,35,2021-11-19 00:04:35
57,69.84654235839844,3.0233817100524902,2021,11,19,0,4,45,2021-11-19 00:04:45
61,70.45633697509766,3.064148187637329,2021,11,19,0,5,5,2021-11-19 00:05:05
63,70.65137481689453,2.951154947280884,2021,11,19,0,5,15,2021-11-19 00:05:15
65,70.6904525756836,3.0780694484710693,2021,11,19,0,5,25,2021-11-19 00:05:25
68,70.20587158203125,2.983154773712158,2021,11,19,0,5,40,2021-11-19 00:05:40
70,69.89854431152344,2.9772868156433105,2021,11,19,0,5,50,2021-11-19 00:05:50
74,69.89337158203125,2.9149928092956543,2021,11,19,0,6,10,2021-11-19 00:06:10
75,70.81026458740234,2.9680240154266357,2021,11,19,0,6,15,2021-11-19 00:06:15
79,70.07217407226562,3.0770373344421387,2021,11,19,0,6,35,2021-11-19 00:06:35
80,69.57144165039062,3.0626049041748047,2021,11,19,0,6,40,2021-11-19 00:06:40
82,69.10165405273438,3.137662649154663,2021,11,19,0,6,50,2021-11-19 00:06:50
87,69.74606323242188,3.0128424167633057,2021,11,19,0,7,15,2021-11-19 00:07:15
88,69.8604736328125,2.9423584938049316,2021,11,19,0,7,20,2021-11-19 00:07:20
90,69.7752685546875,2.8858141899108887,2021,11,19,0,7,30,2021-11-19 00:07:30
92,69.78113555908203,2.9307737350463867,2021,11,19,0,7,40,2021-11-19 00:07:40
93,69.23277282714844,2.8992416858673096,2021,11,19,0,7,45,2021-11-19 00:07:45
96,69.6705551147461,2.9118807315826416,2021,11,19,0,8,0,2021-11-19 00:08:00
98,69.45685577392578,2.9429757595062256,2021,11,19,0,8,10,2021-11-19 00:08:10
99,69.48162078857422,2.996006965637207,2021,11,19,0,8,15,2021-11-19 00:08:15
102,69.20497131347656,2.965258836746216,2021,11,19,0,8,30,2021-11-19 00:08:30
106,69.40994262695312,3.0407474040985107,2021,11,19,0,8,50,2021-11-19 00:08:50
109,69.67509460449219,3.080263376235962,2021,11,19,0,9,5,2021-11-19 00:09:05
111,69.3864974975586,3.032992362976074,2021,11,19,0,9,15,2021-11-19 00:09:15
113,69.31109619140625,3.1579036712646484,2021,11,19,0,9,25,2021-11-19 00:09:25
117,67.94213104248047,3.0658047199249268,2021,11,19,0,9,45,2021-11-19 00:09:45
119,68.89750671386719,3.0152509212493896,2021,11,19,0,9,55,2021-11-19 00:09:55
122,69.93511962890625,2.902161121368408,2021,11,19,0,10,10,2021-11-19 00:10:10
124,70.267578125,3.0148017406463623,2021,11,19,0,10,20,2021-11-19 00:10:20
125,70.09197998046875,3.056349992752075,2021,11,19,0,10,25,2021-11-19 00:10:25
127,69.59619903564453,2.9986541271209717,2021,11,19,0,10,35,2021-11-19 00:10:35
129,69.8084945678711,3.017841100692749,2021,11,19,0,10,45,2021-11-19 00:10:45
131,69.60954284667969,3.0125458240509033,2021,11,19,0,10,55,2021-11-19 00:10:55
132,70.08881378173828,2.711860179901123,2021,11,19,0,11,0,2021-11-19 00:11:00
134,70.09613037109375,2.881298065185547,2021,11,19,0,11,10,2021-11-19 00:11:10
137,70.10946655273438,3.064589023590088,2021,11,19,0,11,25,2021-11-19 00:11:25
143,70.08685302734375,2.899195671081543,2021,11,19,0,11,55,2021-11-19 00:11:55
146,72.52826690673828,2.785282611846924,2021,11,19,0,12,10,2021-11-19 00:12:10
151,71.5559310913086,2.979898691177368,2021,11,19,0,12,35,2021-11-19 00:12:35
155,70.89173126220703,2.9202473163604736,2021,11,19,0,12,55,2021-11-19 00:12:55
157,72.51205444335938,2.9562904834747314,2021,11,19,0,13,5,2021-11-19 00:13:05
158,72.46985626220703,2.862717628479004,2021,11,19,0,13,10,2021-11-19 00:13:10
163,70.20626068115234,3.1140365600585938,2021,11,19,0,13,35,2021-11-19 00:13:35
165,70.15609741210938,3.151292562484741,2021,11,19,0,13,45,2021-11-19 00:13:45
169,71.21347045898438,2.9512205123901367,2021,11,19,0,14,5,2021-11-19 00:14:05
171,71.03248596191406,3.0464725494384766,2021,11,19,0,14,15,2021-11-19 00:14:15
175,70.13660430908203,3.058443307876587,2021,11,19,0,14,35,2021-11-19 00:14:35
178,70.08273315429688,3.078861951828003,2021,11,19,0,14,50,2021-11-19 00:14:50
180,69.44164276123047,2.9317684173583984,2021,11,19,0,15,0,2021-11-19 00:15:00
182,69.47262573242188,2.801370143890381,2021,11,19,0,15,10,2021-11-19 00:15:10
184,68.38751220703125,2.9525492191314697,2021,11,19,0,15,20,2021-11-19 00:15:20
187,68.05171203613281,3.0182855129241943,2021,11,19,0,15,35,2021-11-19 00:15:35
188,68.22578430175781,3.0117149353027344,2021,11,19,0,15,40,2021-11-19 00:15:40
198,68.12309265136719,2.8589775562286377,2021,11,19,0,16,30,2021-11-19 00:16:30
203,69.0433120727539,2.918125867843628,2021,11,19,0,16,55,2021-11-19 00:16:55
209,66.48004150390625,2.9431817531585693,2021,11,19,0,17,25,2021-11-19 00:17:25
214,66.15526580810547,3.0838065147399902,2021,11,19,0,17,50,2021-11-19 00:17:50
215,67.2619857788086,2.900617837905884,2021,11,19,0,17,55,2021-11-19 00:17:55
225,68.89488220214844,2.9910166263580322,2021,11,19,0,18,45,2021-11-19 00:18:45
229,70.30228424072266,2.8290822505950928,2021,11,19,0,19,5,2021-11-19 00:19:05
235,70.41928100585938,2.9630744457244873,2021,11,19,0,19,35,2021-11-19 00:19:35
236,70.59335327148438,2.9787120819091797,2021,11,19,0,19,40,2021-11-19 00:19:40
249,69.6185531616211,2.859710931777954,2021,11,19,0,20,45,2021-11-19 00:20:45
256,70.40921783447266,3.113771677017212,2021,11,19,0,21,20,2021-11-19 00:21:20
260,71.31514739990234,2.975740909576416,2021,11,19,0,21,40,2021-11-19 00:21:40
261,71.54646301269531,2.924445629119873,2021,11,19,0,21,45,2021-11-19 00:21:45
267,70.69115447998047,2.683701276779175,2021,11,19,0,22,15,2021-11-19 00:22:15
268,71.0238037109375,2.8274950981140137,2021,11,19,0,22,20,2021-11-19 00:22:20
279,70.488037109375,2.9103636741638184,2021,11,19,0,23,15,2021-11-19 00:23:15
288,68.86160278320312,2.9327826499938965,2021,11,19,0,24,0,2021-11-19 00:24:00
289,69.36002349853516,2.669306993484497,2021,11,19,0,24,5,2021-11-19 00:24:05
293,69.91838073730469,2.7708795070648193,2021,11,19,0,24,25,2021-11-19 00:24:25
296,70.05435943603516,2.9499363899230957,2021,11,19,0,24,40,2021-11-19 00:24:40
300,70.13726806640625,2.7282278537750244,2021,11,19,0,25,0,2021-11-19 00:25:00
304,70.21797943115234,2.357727289199829,2021,11,19,0,25,20,2021-11-19 00:25:20
305,69.43804168701172,2.215271234512329,2021,11,19,0,25,25,2021-11-19 00:25:25
307,68.88081359863281,2.492750644683838,2021,11,19,0,25,35,2021-11-19 00:25:35
308,69.05488586425781,2.743396043777466,2021,11,19,0,25,40,2021-11-19 00:25:40
311,69.18284606933594,2.916797637939453,2021,11,19,0,25,55,2021-11-19 00:25:55
313,69.04769134521484,2.649641990661621,2021,11,19,0,26,5,2021-11-19 00:26:05
319,70.04682922363281,2.675513505935669,2021,11,19,0,26,35,2021-11-19 00:26:35
