dateTime,value__bpm,value__confidence
11/18/21 00:00:04,90,2
11/18/21 00:00:19,87,2
11/18/21 00:00:24,83,3
11/18/21 00:00:34,82,3
11/18/21 00:00:49,82,3
11/18/21 00:00:54,83,3
11/18/21 00:00:59,82,3
11/18/21 00:01:04,83,3
11/18/21 00:01:14,83,2
11/18/21 00:01:19,84,2
11/18/21 00:01:24,83,2
11/18/21 00:01:29,83,3
11/18/21 00:01:34,84,3
11/18/21 00:01:39,83,2
11/18/21 00:01:44,83,3
11/18/21 00:01:54,84,2
11/18/21 00:01:59,86,3
11/18/21 00:02:04,85,3
11/18/21 00:02:09,84,3
11/18/21 00:02:19,83,3
11/18/21 00:02:24,80,3
11/18/21 00:02:29,82,2
11/18/21 00:02:34,83,2
11/18/21 00:02:39,82,3
11/18/21 00:02:44,83,2
11/18/21 00:02:49,83,3
11/18/21 00:02:59,85,3
11/18/21 00:03:04,83,3
11/18/21 00:03:09,82,2
11/18/21 00:03:14,81,3
11/18/21 00:03:24,82,3
11/18/21 00:03:29,81,3
11/18/21 00:03:34,82,2
11/18/21 00:03:44,83,3
11/18/21 00:03:49,79,3
11/18/21 00:04:04,80,3
11/18/21 00:04:09,81,3
11/18/21 00:04:14,84,2
11/18/21 00:04:19,83,2
11/18/21 00:04:24,77,2
11/18/21 00:04:29,79,2
11/18/21 00:04:34,78,2
11/18/21 00:04:39,77,3
11/18/21 00:04:44,79,3
11/18/21 00:04:49,78,3
11/18/21 00:04:54,77,3
11/18/21 00:05:04,78,3
11/18/21 00:05:14,80,3
11/18/21 00:05:19,81,3
11/18/21 00:05:24,82,3
11/18/21 00:05:39,82,3
11/18/21 00:05:54,82,3
11/18/21 00:05:59,80,3
11/18/21 00:06:04,79,3
11/18/21 00:06:14,80,3
11/18/21 00:06:19,83,3
11/18/21 00:06:24,87,3
11/18/21 00:06:29,87,2
11/18/21 00:06:34,87,3
11/18/21 00:06:44,86,3
11/18/21 00:06:49,86,2
11/18/21 00:06:54,82,3
11/18/21 00:06:59,78,3
11/18/21 00:07:04,77,3
11/18/21 00:07:09,79,3
11/18/21 00:07:14,81,3
11/18/21 00:07:19,83,3
11/18/21 00:07:24,85,3
11/18/21 00:07:29,85,2
11/18/21 00:07:34,83,3
11/18/21 00:07:39,80,3
11/18/21 00:07:44,81,3
11/18/21 00:07:49,83,3
11/18/21 00:07:54,85,3
11/18/21 00:07:59,86,3
11/18/21 00:08:04,87,3
11/18/21 00:08:14,86,3
11/18/21 00:08:29,86,3
11/18/21 00:08:44,87,3
11/18/21 00:08:49,87,2
