"dateTime","value__bpm","value__confidence"
"11/20/21 09:11:42","104","0"
"11/20/21 09:11:47","90","0"
"11/20/21 09:11:52","91","0"
"11/20/21 09:11:57","94","1"
"11/20/21 09:12:02","100","1"
"11/20/21 09:12:07","106","1"
"11/20/21 09:12:12","105","1"
"11/20/21 09:12:17","104","1"
"11/20/21 09:12:32","106","1"
"11/20/21 09:12:37","108","1"
"11/20/21 09:12:47","107","1"
"11/20/21 09:12:52","110","1"
"11/20/21 09:12:57","112","1"
"11/20/21 09:13:02","111","1"
"11/20/21 09:13:07","108","1"
"11/20/21 09:13:12","111","1"
"11/20/21 09:13:17","107","1"
"11/20/21 09:13:22","104","1"
"11/20/21 09:13:27","102","1"
"11/20/21 09:13:32","100","1"
"11/20/21 09:13:37","98","1"
"11/20/21 09:13:42","97","1"
"11/20/21 09:13:47","100","1"
"11/20/21 09:13:52","100","2"
"11/20/21 09:13:57","101","3"
"11/20/21 09:14:02","97","3"
"11/20/21 09:14:07","95","2"
"11/20/21 09:14:12","93","2"
"11/20/21 09:14:27","94","3"
"11/20/21 09:14:32","95","2"
"11/20/21 09:14:47","95","2"
"11/20/21 09:14:52","97","2"
"11/20/21 09:14:58","97","1"
"11/20/21 09:15:03","99","1"
"11/20/21 09:15:08","101","1"
"11/20/21 09:15:18","100","1"
"11/20/21 09:15:23","99","1"
"11/20/21 09:15:28","98","1"
"11/20/21 09:15:33","99","1"
"11/20/21 09:15:38","98","2"
"11/20/21 09:15:43","99","1"
"11/20/21 09:15:48","98","1"
"11/20/21 09:15:58","97","1"
"11/20/21 09:16:03","96","1"
"11/20/21 09:16:18","97","1"
"11/20/21 09:16:23","96","1"
"11/20/21 09:16:28","97","1"
"11/20/21 09:16:43","99","1"
"11/20/21 09:16:53","100","1"
"11/20/21 09:17:04","99","2"
"11/20/21 09:17:09","101","2"
"11/20/21 09:17:14","102","2"
"11/20/21 09:17:29","102","2"
"11/20/21 09:17:39","103","2"
"11/20/21 09:17:49","101","2"
"11/20/21 09:17:54","100","2"
"11/20/21 09:17:59","98","2"
"11/20/21 09:18:04","99","2"
"11/20/21 09:18:09","101","2"
"11/20/21 09:18:14","101","1"
"11/20/21 09:18:19","102","1"
"11/20/21 09:18:24","104","1"
"11/20/21 09:18:29","105","1"
"11/20/21 09:18:34","102","1"
"11/20/21 09:18:39","101","1"
"11/20/21 09:18:54","103","1"
"11/20/21 09:18:59","106","1"
"11/20/21 09:19:04","108","1"
"11/20/21 09:19:14","107","1"
"11/20/21 09:19:19","106","1"
"11/20/21 09:19:29","103","1"
"11/20/21 09:19:34","102","1"
"11/20/21 09:19:39","97","1"
"11/20/21 09:19:44","96","1"
"11/20/21 09:19:49","93","1"
"11/20/21 09:19:54","95","1"
"11/20/21 09:19:59","102","1"
"11/20/21 09:20:04","104","1"
"11/20/21 09:20:14","106","1"
"11/20/21 09:20:19","107","1"
"11/20/21 09:20:24","105","1"
"11/20/21 09:20:34","104","1"
"11/20/21 09:20:39","101","1"
"11/20/21 09:20:44","102","1"
"11/20/21 09:20:49","104","1"
"11/20/21 09:20:59","108","1"
"11/20/21 09:21:04","109","1"
"11/20/21 09:21:09","110","1"
"11/20/21 09:21:14","111","1"
"11/20/21 09:21:24","112","1"
"11/20/21 09:21:29","110","1"
"11/20/21 09:21:34","109","1"
"11/20/21 09:21:39","103","1"
"11/20/21 09:21:54","101","1"
"11/20/21 09:21:59","102","1"
"11/20/21 09:22:04","103","1"
"11/20/21 09:22:09","105","1"
"11/20/21 09:22:14","106","1"
"11/20/21 09:22:29","107","1"
"11/20/21 09:22:34","106","1"
"11/20/21 09:22:44","107","1"
"11/20/21 09:22:59","109","1"
"11/20/21 09:23:14","106","1"
"11/20/21 09:23:19","104","1"
"11/20/21 09:23:24","106","1"
"11/20/21 09:23:34","107","1"
"11/20/21 09:23:39","108","1"
"11/20/21 09:23:44","110","1"
"11/20/21 09:23:54","108","1"
"11/20/21 09:23:59","109","1"
"11/20/21 09:24:04","108","1"
"11/20/21 09:24:14","101","1"
"11/20/21 09:24:19","105","1"
"11/20/21 09:24:24","100","1"
"11/20/21 09:24:34","105","1"
"11/20/21 09:24:39","106","1"
"11/20/21 09:24:44","107","1"
"11/20/21 09:24:49","104","1"
"11/20/21 09:24:59","103","1"
"11/20/21 09:25:09","101","1"
"11/20/21 09:25:24","100","1"
"11/20/21 09:25:29","101","1"
"11/20/21 09:25:34","102","1"
"11/20/21 09:25:39","101","1"
"11/20/21 09:25:44","103","1"
"11/20/21 09:25:49","104","1"
"11/20/21 09:25:54","102","1"
"11/20/21 09:25:59","101","1"
"11/20/21 09:26:04","102","1"
"11/20/21 09:26:14","101","1"
"11/20/21 09:26:19","102","1"
"11/20/21 09:26:29","103","1"
"11/20/21 09:26:34","105","1"
"11/20/21 09:26:39","102","1"
"11/20/21 09:26:54","103","1"
"11/20/21 09:27:09","103","1"
"11/20/21 09:27:19","104","1"
"11/20/21 09:27:24","103","1"
"11/20/21 09:27:29","104","1"
"11/20/21 09:27:44","104","1"
"11/20/21 09:27:49","105","1"
"11/20/21 09:27:54","106","1"
"11/20/21 09:28:04","105","1"
"11/20/21 09:28:14","106","1"
"11/20/21 09:28:29","106","1"
"11/20/21 09:28:34","110","1"
"11/20/21 09:28:49","110","1"
"11/20/21 09:28:59","112","1"
"11/20/21 09:29:04","113","1"
"11/20/21 09:29:09","112","1"
"11/20/21 09:29:14","110","1"
"11/20/21 09:29:24","109","1"
"11/20/21 09:29:29","110","1"
"11/20/21 09:29:34","111","1"
"11/20/21 09:29:44","112","1"
"11/20/21 09:29:59","112","1"
"11/20/21 09:30:09","111","1"
"11/20/21 09:30:14","112","1"
"11/20/21 09:30:24","118","1"
"11/20/21 09:30:29","117","1"
"11/20/21 09:30:34","121","1"
"11/20/21 09:30:39","115","1"
"11/20/21 09:30:44","117","1"
"11/20/21 09:30:49","119","1"
"11/20/21 09:30:54","116","1"
"11/20/21 09:30:59","115","1"
"11/20/21 09:31:14","115","1"
"11/20/21 09:31:29","113","1"
"11/20/21 09:31:34","114","1"
"11/20/21 09:31:44","113","1"
"11/20/21 09:31:49","112","1"
"11/20/21 09:31:59","111","1"
"11/20/21 09:32:04","113","1"
"11/20/21 09:32:09","110","1"
"11/20/21 09:32:24","110","1"
"11/20/21 09:32:29","109","1"
"11/20/21 09:32:34","108","1"
"11/20/21 09:32:39","109","1"
"11/20/21 09:32:44","111","1"
"11/20/21 09:32:49","113","1"
"11/20/21 09:32:54","111","1"
"11/20/21 09:33:04","110","1"
"11/20/21 09:33:09","109","1"
"11/20/21 09:33:19","106","1"
"11/20/21 09:33:24","108","1"
"11/20/21 09:33:29","105","1"
"11/20/21 09:33:39","106","1"
"11/20/21 09:33:44","105","1"
"11/20/21 09:33:49","107","1"
"11/20/21 09:33:54","106","1"
"11/20/21 09:33:59","96","1"
"11/20/21 09:34:04","92","1"
"11/20/21 09:34:09","94","1"
"11/20/21 09:34:14","99","1"
"11/20/21 09:34:19","101","1"
"11/20/21 09:34:24","102","1"
"11/20/21 09:34:29","100","1"
"11/20/21 09:34:34","103","1"
"11/20/21 09:34:39","102","1"
"11/20/21 09:34:44","101","1"
"11/20/21 09:34:54","100","1"
"11/20/21 09:34:59","98","1"
"11/20/21 09:35:04","96","1"
"11/20/21 09:35:09","97","1"
"11/20/21 09:35:14","98","1"
"11/20/21 09:35:19","96","1"
"11/20/21 09:35:24","97","1"
"11/20/21 09:35:29","99","1"
"11/20/21 09:35:34","102","1"
"11/20/21 09:35:39","105","1"
"11/20/21 09:35:44","104","1"
"11/20/21 09:35:59","101","1"
"11/20/21 09:36:14","101","1"
"11/20/21 09:36:19","103","1"
"11/20/21 09:36:24","104","1"
"11/20/21 09:36:29","102","1"
"11/20/21 09:36:34","103","1"
"11/20/21 09:36:44","101","1"
"11/20/21 09:36:54","102","1"
"11/20/21 09:37:04","95","1"
"11/20/21 09:37:14","97","1"
"11/20/21 09:37:24","100","1"
"11/20/21 09:37:29","95","1"
"11/20/21 09:37:39","91","1"
"11/20/21 09:37:49","90","1"
"11/20/21 09:37:54","89","1"
"11/20/21 09:37:59","90","1"
"11/20/21 09:38:09","91","1"
"11/20/21 09:38:14","94","1"
"11/20/21 09:38:24","98","1"
"11/20/21 09:38:29","96","1"
