iter	RMSE
0	2.116312037
1	2.036022118
2	1.961846672
3	1.891963897
4	1.830392719
5	1.774654658
6	1.725962211
7	1.67755123
8	1.634562984
9	1.592734555
10	1.555843672
11	1.520519748
12	1.491394637
13	1.462708767
14	1.436498022
15	1.41387059
16	1.393015324
17	1.372868962
18	1.353069323
19	1.337020575
20	1.323194026
21	1.307796999
22	1.295050142
23	1.283075067
24	1.271695187
25	1.261394268
26	1.251396378
27	1.243077424
28	1.233152039
29	1.225438364
30	1.216650688
31	1.210256694
32	1.203109567
33	1.197609548
34	1.192160054
35	1.184551352
36	1.178874346
37	1.175283232
38	1.170268807
39	1.16435936
40	1.15940496
41	1.156361149
42	1.152578075
43	1.150296656
44	1.146868454
45	1.145105885
46	1.141769927
47	1.138961207
48	1.135011075
49	1.131892607
50	1.129316307
51	1.125473872
52	1.121961477
53	1.118983603
54	1.115144112
55	1.11400884
56	1.110900072
57	1.108387513
58	1.105782374
59	1.104067053
60	1.102295229
61	1.099427012
62	1.097382793
63	1.094705708
64	1.092938805
65	1.091687327
66	1.090391146
67	1.088782735
68	1.087428054
69	1.086329981
70	1.084700742
71	1.082775647
72	1.081170175
73	1.078243343
74	1.0766227
75	1.074563138
76	1.07209539
77	1.069897547
78	1.069074489
79	1.067369689
80	1.066286671
81	1.065218256
82	1.062906617
83	1.062390534
84	1.06096424
85	1.060153626
86	1.059255423
87	1.058170489
88	1.056711322
89	1.054626109
90	1.052803711
91	1.051896812
92	1.050695864
93	1.049500065
94	1.047920896
95	1.046767551
96	1.04591159
97	1.044911597
98	1.043927949
99	1.04242052
100	1.04171772
101	1.04061428
102	1.03943171
103	1.038745676
104	1.03769526
105	1.03689003
106	1.035421875
107	1.034267271
108	1.031873874
109	1.03121041
110	1.030270866
111	1.028882286
112	1.027653074
113	1.026037282
114	1.024717727
115	1.023210604
116	1.022571239
117	1.02157853
118	1.020993947
119	1.020122651
120	1.01890353
121	1.017467259
122	1.01644307
123	1.015311391
124	1.01371935
125	1.012628865
126	1.011060322
127	1.009879559
128	1.008748471
129	1.00820074
130	1.006684713
131	1.005914268
132	1.005363501
133	1.00460921
134	1.003859941
135	1.001947705
136	1.000912439
137	0.9993882523
138	0.9976745948
139	0.9965894362
140	0.9951887716
141	0.9945086018
142	0.9940180615
143	0.9918914028
144	0.9912293282
145	0.9900070361
146	0.9892807341
147	0.9882461378
148	0.9872382738
149	0.9863200307
150	0.9851950281
151	0.9836823158
152	0.9822244194
153	0.9812261603
154	0.9801420639
155	0.9797495442
156	0.9789016219
157	0.9773233172
158	0.9761938597
159	0.9754233978
160	0.9745163655
161	0.973527121
162	0.9727687297
163	0.9716996076
164	0.9710509
165	0.9700623044
166	0.969307103
167	0.9687862415
168	0.9676566182
169	0.9673424274
170	0.9667813031
171	0.9660890784
172	0.9655156416
173	0.9650315324
174	0.963683105
175	0.9624688407
176	0.9620469567
177	0.9612647933
178	0.9605975833
179	0.9595589293
180	0.958867486
181	0.9573261297
182	0.9564598947
183	0.9556656543
184	0.9551838706
185	0.9541709529
186	0.9527440639
187	0.9521590078
188	0.950924283
189	0.9499140965
190	0.9491587759
191	0.9484396497
192	0.947312265
193	0.9468834555
194	0.9460723117
195	0.945430981
196	0.9449725719
197	0.944020314
198	0.9435321545
199	0.9427876563
200	0.9419075298
201	0.941013253
202	0.9407476095
203	0.9404542943
204	0.9401085824
205	0.9394350832
206	0.9388259611
207	0.937981973
208	0.9375247212
209	0.9369489264
210	0.936362834
211	0.935941333
212	0.9356761373
213	0.9350685965
214	0.9348136447
215	0.9341950196
216	0.9336068612
217	0.9324770361
218	0.9322269546
219	0.931556837
220	0.9310972621
221	0.9299871549
222	0.9295608423
223	0.9286474464
224	0.9279809464
225	0.9274067552
226	0.9269331616
227	0.9260529051
228	0.9251478469
229	0.9247300963
230	0.924335564
231	0.9234264189
232	0.9229356821
233	0.922709522
234	0.9224944676
235	0.9214876711
236	0.9205394818
237	0.9196556579
238	0.9192089745
239	0.9187239593
240	0.9170079062
241	0.9166904082
242	0.9164284724
243	0.9161788669
244	0.9152449088
245	0.9148928498
246	0.914523508
247	0.9139490211
248	0.9134953419
249	0.9130094623
250	0.9126203047
251	0.9122102226
252	0.9117126327
253	0.9111797275
254	0.9103193466
255	0.9099880181
256	0.9093045845
257	0.9087080648
258	0.9079658965
259	0.9076273981
260	0.9068600083
261	0.9067145981
262	0.9060028729
263	0.9054842042
264	0.9052118359
265	0.9047108011
266	0.9042365026
267	0.9037224276
268	0.903343014
269	0.9030259488
270	0.9026374237
271	0.9019191794
272	0.9014722221
273	0.9009373254
274	0.9004602125
275	0.9002188485
276	0.9000169852
277	0.8997147617
278	0.8991199208
279	0.898633637
280	0.8982545922
281	0.8978065277
282	0.8975236456
283	0.8970945834
284	0.896728822
285	0.8956200174
286	0.8950813267
287	0.8943396212
288	0.8937680515
289	0.8930821106
290	0.8928561468
291	0.891728773
292	0.8915915554
293	0.8905658974
294	0.890378999
295	0.8901352446
296	0.8897946693
297	0.8888633881
298	0.888663287
299	0.8878864288
300	0.887394054
301	0.8869847022
302	0.8865877338
303	0.8862211475
304	0.8857127424
305	0.8851070639
306	0.8845431263
307	0.8840404647
308	0.8822772772
309	0.8817097622
310	0.8814209749
311	0.8810054905
312	0.8808845666
313	0.880432987
314	0.8801775802
315	0.8797110681
316	0.8789388682
317	0.878077178
318	0.87762965
319	0.877148519
320	0.8768142386
321	0.8762705268
322	0.8758924775
323	0.8756511524
324	0.8752532886
325	0.8745983724
326	0.8742155754
327	0.873851238
328	0.8732984634
329	0.8728447198
330	0.8723560197
331	0.8718557981
332	0.8712090471
333	0.870804101
334	0.8704234081
335	0.8701575839
336	0.8697727763
337	0.8695531281
338	0.8692607968
339	0.8687060606
340	0.8683104248
341	0.8680415592
342	0.8674355372
343	0.8670740695
344	0.8669283525
345	0.8666649413
346	0.8663090954
347	0.865864413
348	0.8654718326
349	0.8648704806
350	0.8644813565
351	0.8642214235
352	0.863866155
353	0.8635998568
354	0.8632267994
355	0.8627466292
356	0.8625157027
357	0.8621828848
358	0.8617750903
359	0.8614175108
360	0.8610317405
361	0.8601781576
362	0.8596904455
363	0.8590643232
364	0.8585591328
365	0.8579822195
366	0.8576094673
367	0.8569290432
368	0.856233292
369	0.8559744011
370	0.8556050677
371	0.8552023066
372	0.8545965889
373	0.8542738115
374	0.8539387836
375	0.8535092446
376	0.8530039441
377	0.8524996393
378	0.8523006655
379	0.851885272
380	0.8511951516
381	0.8508792128
382	0.8504395052
383	0.8498957271
384	0.8496407426
385	0.8493235884
386	0.8489233998
387	0.848544656
388	0.8481931427
389	0.8479185515
390	0.8474230598
391	0.8469188658
392	0.8462219846
393	0.8457825689
394	0.8454174295
395	0.8450393813
396	0.8447449172
397	0.8444734052
398	0.8438860555
399	0.8437742614
400	0.843507645
401	0.8433318722
402	0.8429492588
403	0.8424246356
404	0.8420811047
405	0.841866844
406	0.8415859676
407	0.8413269387
408	0.8411025788
409	0.8408599513
410	0.8405109984
411	0.8400210545
412	0.8393945908
413	0.8386737328
414	0.8381884466
415	0.8377695085
416	0.8372267087
417	0.8370374748
418	0.8366812691
419	0.8360291991
420	0.8355065948
421	0.8350571654
422	0.8347080571
423	0.8344217282
424	0.8338550499
425	0.8336490265
426	0.8332774131
427	0.8327683215
428	0.8321761329
429	0.8319991491
430	0.8316550424
431	0.8312587262
432	0.8308229427
433	0.8302024052
434	0.8297804962
435	0.829446069
436	0.8292362018
437	0.8291006469
438	0.8286283386
439	0.8282388315
440	0.8279169466
441	0.8275358064
442	0.8270865639
443	0.8267910281
444	0.8267181064
445	0.8265182956
446	0.8261626331
447	0.8259188632
448	0.8256494248
449	0.8254746892
450	0.8252230993
451	0.824991538
452	0.8247831063
453	0.8247032465
454	0.824520023
455	0.8239604038
456	0.8235097958
457	0.8232502901
458	0.8230587642
459	0.8225945014
460	0.8223378596
461	0.8218457295
462	0.8216305442
463	0.8213043203
464	0.8211000705
465	0.8206509683
466	0.8201959267
467	0.8196070311
468	0.8192959456
469	0.8190218688
470	0.8183362592
471	0.8173325117
472	0.816907027
473	0.8165250624
474	0.8161656051
475	0.8159144138
476	0.815363654
477	0.8149785615
478	0.8147172755
479	0.814487309
480	0.8142687475
481	0.8141091273
482	0.813663479
483	0.813317441
484	0.8131353534
485	0.8127162202
486	0.8124794078
487	0.81233455
488	0.8121127743
489	0.8118941385
490	0.8116763914
491	0.8113006108
492	0.8107969512
493	0.8105004469
494	0.8103002217
495	0.8101389813
496	0.8099253449
497	0.8095957762
498	0.8093436558
499	0.8089944815
500	0.8085103827
501	0.8082111795
