iter	Passed	Remaining
0	56	56227
1	69	34749
2	73	24497
3	78	19443
4	85	17003
5	91	15102
6	95	13528
7	109	13556
8	113	12489
9	118	11778
10	128	11571
11	133	10955
12	148	11301
13	166	11696
14	169	11146
15	180	11125
16	185	10725
17	201	10971
18	205	10619
19	218	10689
20	223	10397
21	226	10089
22	240	10230
23	258	10520
24	276	10793
25	289	10836
26	304	10969
27	317	11005
28	324	10854
29	343	11102
30	359	11244
31	371	11247
32	376	11036
33	393	11185
34	406	11219
35	414	11086
36	428	11153
37	444	11262
38	454	11188
39	465	11161
40	473	11068
41	478	10924
42	483	10769
43	505	10978
44	519	11034
45	523	10859
46	537	10906
47	542	10752
48	555	10787
49	561	10660
50	571	10629
51	575	10500
52	580	10365
53	597	10474
54	606	10425
55	614	10353
56	617	10218
57	626	10172
58	635	10138
59	647	10148
60	653	10059
61	658	9955
62	670	9966
63	682	9976
64	692	9959
65	705	9990
66	710	9887
67	720	9877
68	724	9781
69	733	9742
70	742	9719
71	746	9619
72	760	9651
73	775	9699
74	779	9617
75	784	9541
76	795	9532
77	799	9448
78	804	9378
79	813	9353
80	817	9270
81	824	9228
82	830	9172
83	834	9099
84	849	9144
85	852	9064
86	867	9102
87	871	9036
88	880	9011
89	889	8990
90	896	8960
91	900	8891
92	907	8849
93	911	8788
94	922	8786
95	926	8720
96	930	8661
97	942	8672
98	948	8630
99	958	8627
100	963	8578
101	978	8613
102	988	8610
103	995	8578
104	1002	8545
105	1007	8498
106	1011	8443
107	1015	8384
108	1029	8414
109	1033	8358
110	1045	8374
111	1049	8320
112	1057	8298
113	1072	8331
114	1085	8351
115	1093	8329
116	1103	8328
117	1118	8359
118	1122	8308
119	1128	8275
120	1136	8256
121	1141	8216
122	1154	8233
123	1160	8200
124	1174	8222
125	1181	8193
126	1186	8155
127	1192	8125
128	1196	8080
129	1203	8056
130	1210	8028
131	1218	8012
132	1225	7991
133	1232	7967
134	1237	7927
135	1248	7933
136	1253	7894
137	1258	7861
138	1270	7867
139	1281	7870
140	1285	7831
141	1296	7835
142	1303	7814
143	1307	7774
144	1318	7774
145	1327	7764
146	1331	7725
147	1336	7695
148	1344	7679
149	1348	7641
150	1360	7650
151	1365	7615
152	1370	7587
153	1379	7575
154	1383	7541
155	1392	7534
156	1397	7504
157	1401	7466
